model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = TST
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             O2_g: {'pressure': 1.0000000000000001e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-30
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          12.40%            1.240000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          12.60%            1.260000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          12.80%            1.280000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          13.00%            1.300000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          13.20%            1.320000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          13.40%            1.340000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          13.60%            1.360000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          13.80%            1.380000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          14.00%            1.400000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          14.20%            1.420000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          14.40%            1.440000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          14.60%            1.460000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          14.80%            1.480000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          15.00%            1.500000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          15.20%            1.520000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          15.40%            1.540000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          15.60%            1.560000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          15.80%            1.580000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          16.00%            1.600000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          16.20%            1.620000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          16.40%            1.640000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          16.60%            1.660000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          16.80%            1.680000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          17.00%            1.700000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          17.20%            1.720000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          17.40%            1.740000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          17.60%            1.760000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          17.80%            1.780000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          18.00%            1.800000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          18.20%            1.820000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          18.40%            1.840000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          18.60%            1.860000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          18.80%            1.880000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          19.00%            1.900000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          19.20%            1.920000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          19.40%            1.940000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          19.60%            1.960000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          19.80%            1.980000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          20.00%            2.000000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          20.20%            2.020000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          20.40%            2.040000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          20.60%            2.060000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          20.80%            2.080000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          21.00%            2.100000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          21.20%            2.120000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          21.40%            2.140000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          21.60%            2.160000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          21.80%            2.180000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          22.00%            2.200000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          22.20%            2.220000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          22.40%            2.240000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          22.60%            2.260000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          22.80%            2.280000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          23.00%            2.300000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          23.20%            2.320000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          23.40%            2.340000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          23.60%            2.360000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          23.80%            2.380000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          24.00%            2.400000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          24.20%            2.420000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          24.40%            2.440000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          24.60%            2.460000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          24.80%            2.480000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          25.00%            2.500000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          25.20%            2.520000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          25.40%            2.540000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          25.60%            2.560000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          25.80%            2.580000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          26.00%            2.600000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          26.20%            2.620000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          26.40%            2.640000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          26.60%            2.660000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          26.80%            2.680000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          27.00%            2.700000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          27.20%            2.720000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          27.40%            2.740000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          27.60%            2.760000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          27.80%            2.780000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          28.00%            2.800000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          28.20%            2.820000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          28.40%            2.840000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          28.60%            2.860000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          28.80%            2.880000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          29.00%            2.900000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          29.20%            2.920000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          29.40%            2.940000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          29.60%            2.960000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          29.80%            2.980000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          30.00%            3.000000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          30.20%            3.020000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          30.40%            3.040000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          30.60%            3.060000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          30.80%            3.080000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          31.00%            3.100000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          31.20%            3.120000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          31.40%            3.140000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          31.60%            3.160000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          31.80%            3.180000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          32.00%            3.200000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          32.20%            3.220000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          32.40%            3.240000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          32.60%            3.260000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          32.80%            3.280000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          33.00%            3.300000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          33.20%            3.320000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          33.40%            3.340000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          33.60%            3.360000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          33.80%            3.380000      9.96531783e-01      2.47593012e-06
model.solvers.SteadyStateSolver   INFO          34.00%            3.400000      9.96531783e-01      2.47593012e-06
